sample	group	group_color
Mcapitata_HTAC_TP9_1467	Ungrouped	#808080
Mcapitata_HTAC_TP9_2412	Ungrouped	#808080
Mcapitata_HTAC_TP10_1315	Ungrouped	#808080
Mcapitata_HTAC_TP10_1478	Ungrouped	#808080
Mcapitata_HTAC_TP10_1754	Ungrouped	#808080
Mcapitata_HTAC_TP11_1248	Ungrouped	#808080
Mcapitata_HTAC_TP11_1562	Ungrouped	#808080
Mcapitata_HTAC_TP12_1632	Ungrouped	#808080
Mcapitata_HTAC_TP12_1729	Ungrouped	#808080
Mcapitata_HTAC_TP12_2007	Ungrouped	#808080
Mcapitata_HTHC_TP1_1145	Ungrouped	#808080
Mcapitata_HTHC_TP1_1323	Ungrouped	#808080
Mcapitata_HTHC_TP1_2081	Ungrouped	#808080
Mcapitata_HTHC_TP3_1128	Ungrouped	#808080
Mcapitata_HTHC_TP3_1277	Ungrouped	#808080
Mcapitata_HTHC_TP3_2518	Ungrouped	#808080
Mcapitata_HTHC_TP4_1124	Ungrouped	#808080
Mcapitata_HTHC_TP4_1328	Ungrouped	#808080
Mcapitata_HTHC_TP4_2204	Ungrouped	#808080
Mcapitata_HTHC_TP5_1345	Ungrouped	#808080
Mcapitata_HTHC_TP5_1449	Ungrouped	#808080
Mcapitata_HTHC_TP5_1694	Ungrouped	#808080
Mcapitata_HTHC_TP6_1164	Ungrouped	#808080
Mcapitata_HTHC_TP6_1317	Ungrouped	#808080
Mcapitata_HTHC_TP6_1604	Ungrouped	#808080
Mcapitata_HTHC_TP7_1126	Ungrouped	#808080
Mcapitata_HTHC_TP7_1250	Ungrouped	#808080
Mcapitata_HTHC_TP7_2419	Ungrouped	#808080
Mcapitata_HTHC_TP8_1082	Ungrouped	#808080
Mcapitata_HTHC_TP8_1246	Ungrouped	#808080
Mcapitata_HTHC_TP8_2067	Ungrouped	#808080
Mcapitata_HTHC_TP9_1078	Ungrouped	#808080
Mcapitata_HTHC_TP9_1331	Ungrouped	#808080
Mcapitata_HTHC_TP9_2009	Ungrouped	#808080
Mcapitata_HTHC_TP10_1074	Ungrouped	#808080
Mcapitata_HTHC_TP10_1332	Ungrouped	#808080
Mcapitata_HTHC_TP10_1689	Ungrouped	#808080
Mcapitata_HTHC_TP11_1178	Ungrouped	#808080
Mcapitata_HTHC_TP11_1270	Ungrouped	#808080
Mcapitata_HTHC_TP11_2511	Ungrouped	#808080
Mcapitata_HTHC_TP12_1140	Ungrouped	#808080
Mcapitata_HTHC_TP12_1274	Ungrouped	#808080
Mcapitata_HTHC_TP12_2190	Ungrouped	#808080
