RetainedRef	DuplicateRef
Pocillopora_acuta_KBHIv2___RNAseq.g23017.t1	Pocillopora_acuta_KBHIv2___RNAseq.g23024.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18392.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18884.t1
Pocillopora_acuta_KBHIv2___RNAseq.g23571.t1	Pocillopora_acuta_KBHIv2___RNAseq.g23583.t1
Pocillopora_acuta_KBHIv2___RNAseq.g24616.t1	Pocillopora_acuta_KBHIv2___TS.g16919.t1
Pocillopora_acuta_KBHIv2___RNAseq.g8610.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8605.t1
Pocillopora_acuta_KBHIv2___RNAseq.g8162.t1	Pocillopora_acuta_KBHIv2___RNAseq.g16452.t1
Pocillopora_acuta_KBHIv2___RNAseq.g28930.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22555.t1
Pocillopora_acuta_KBHIv2___TS.g12579.t1	Pocillopora_acuta_KBHIv2___TS.g4715.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6108.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22129.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9661.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8556.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18243.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18235.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22134.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g25613.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31159.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31149.t1
Pocillopora_acuta_KBHIv2___TS.g11871.t1	Pocillopora_acuta_KBHIv2___TS.g14862.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18125.t1	Pocillopora_acuta_KBHIv2___RNAseq.g20876.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15055.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15065.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15055.t1	Pocillopora_acuta_KBHIv2___TS.g14742.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15055.t1	Pocillopora_acuta_KBHIv2___TS.g14748.t1
Pocillopora_acuta_KBHIv2___RNAseq.g23681.t1	Pocillopora_acuta_KBHIv2___RNAseq.g17293.t1
Pocillopora_acuta_KBHIv2___RNAseq.g23681.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8518.t1
Pocillopora_acuta_KBHIv2___RNAseq.g8800.t1	Pocillopora_acuta_KBHIv2___RNAseq.g17814.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15238.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15228.t1
Pocillopora_acuta_KBHIv2___RNAseq.g16365.t1	Pocillopora_acuta_KBHIv2___RNAseq.g2912.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18833.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18837.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18833.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18829.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18833.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18845.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18833.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18841.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18833.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18849.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18852.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18832.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18852.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18836.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18852.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18840.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18852.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18848.t1
Pocillopora_acuta_KBHIv2___RNAseq.g18852.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18844.t1
Pocillopora_acuta_KBHIv2___RNAseq.g8612.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8603.t1
Pocillopora_acuta_KBHIv2___RNAseq.g4236.t1	Pocillopora_acuta_KBHIv2___RNAseq.g4241.t1
Pocillopora_acuta_KBHIv2___RNAseq.g8446.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18376.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12456.t1	Pocillopora_acuta_KBHIv2___RNAseq.g383.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12456.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6756.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12456.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8755.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12456.t1	Pocillopora_acuta_KBHIv2___RNAseq.g380.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12456.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6759.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17490.t1	Pocillopora_acuta_KBHIv2___TS.g22868.t1a
Pocillopora_acuta_KBHIv2___RNAseq.g17490.t1	Pocillopora_acuta_KBHIv2___RNAseq.g13658.t1
Pocillopora_acuta_KBHIv2___RNAseq.g17490.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18553.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27181.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27159.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15042.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15048.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15042.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15054.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15042.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15064.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9651.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31151.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22556.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22133.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18241.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8557.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g4267.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6110.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25611.t1	Pocillopora_acuta_KBHIv2___RNAseq.g28929.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6809.t1	Pocillopora_acuta_KBHIv2___RNAseq.g19459.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29495.t1	Pocillopora_acuta_KBHIv2___RNAseq.g29492.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15044.t1	Pocillopora_acuta_KBHIv2___RNAseq.g14944.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15044.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15050.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15044.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15060.t1
Pocillopora_acuta_KBHIv2___RNAseq.g11624.t1	Pocillopora_acuta_KBHIv2___RNAseq.g12461.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6808.t1	Pocillopora_acuta_KBHIv2___RNAseq.g19460.t1
Pocillopora_acuta_KBHIv2___RNAseq.g8604.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8611.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25612.t1	Pocillopora_acuta_KBHIv2___RNAseq.g29755.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25612.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9650.t1
Pocillopora_acuta_KBHIv2___RNAseq.g25612.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18242.t1
Pocillopora_acuta_KBHIv2___RNAseq.g379.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6755.t1
Pocillopora_acuta_KBHIv2___RNAseq.g379.t1	Pocillopora_acuta_KBHIv2___RNAseq.g382.t1
Pocillopora_acuta_KBHIv2___RNAseq.g379.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6758.t1
Pocillopora_acuta_KBHIv2___RNAseq.g3454.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27880.t1
Pocillopora_acuta_KBHIv2___RNAseq.g3454.t1	Pocillopora_acuta_KBHIv2___RNAseq.g2492.t1
Pocillopora_acuta_KBHIv2___RNAseq.g3454.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27873.t1
Pocillopora_acuta_KBHIv2___TS.g15098.t1	Pocillopora_acuta_KBHIv2___TS.g15099.t1
Pocillopora_acuta_KBHIv2___RNAseq.g24578.t1	Pocillopora_acuta_KBHIv2___RNAseq.g17334.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31370.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6814.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31370.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31369.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31370.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6813.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31370.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6815.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31370.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31371.t1
Pocillopora_acuta_KBHIv2___RNAseq.g31370.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6812.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15056.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15066.t1
Pocillopora_acuta_KBHIv2___TS.g30427.t1	Pocillopora_acuta_KBHIv2___TS.g30428.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14309.t1	Pocillopora_acuta_KBHIv2___RNAseq.g14305.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27467.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27463.t1
Pocillopora_acuta_KBHIv2___RNAseq.g23760.t1	Pocillopora_acuta_KBHIv2___RNAseq.g28345.t1a
Pocillopora_acuta_KBHIv2___RNAseq.g23760.t1	Pocillopora_acuta_KBHIv2___RNAseq.g7296.t1
Pocillopora_acuta_KBHIv2___RNAseq.g20271.t1	Pocillopora_acuta_KBHIv2___RNAseq.g20222.t1
Pocillopora_acuta_KBHIv2___RNAseq.g7144.t1	Pocillopora_acuta_KBHIv2___RNAseq.g7158.t1
Pocillopora_acuta_KBHIv2___RNAseq.g1434.t1	Pocillopora_acuta_KBHIv2___RNAseq.g30120.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6420.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6066.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15583.t1	Pocillopora_acuta_KBHIv2___TS.g28164.t1
Pocillopora_acuta_KBHIv2___RNAseq.g30271.t1	Pocillopora_acuta_KBHIv2___RNAseq.g30278.t1
Pocillopora_acuta_KBHIv2___RNAseq.g12762.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9355.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6109.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31150.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6109.t1	Pocillopora_acuta_KBHIv2___TS.g20974.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6109.t1	Pocillopora_acuta_KBHIv2___TS.g4876.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29571.t1	Pocillopora_acuta_KBHIv2___RNAseq.g29570.t1
Pocillopora_acuta_KBHIv2___RNAseq.g11976.t1	Pocillopora_acuta_KBHIv2___RNAseq.g58.t1
Pocillopora_acuta_KBHIv2___TS.g1207.t1	Pocillopora_acuta_KBHIv2___TS.g20620.t1
Pocillopora_acuta_KBHIv2___RNAseq.g27249.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27240.t1
Pocillopora_acuta_KBHIv2___RNAseq.g2860.t1	Pocillopora_acuta_KBHIv2___RNAseq.g2873.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29360.t1	Pocillopora_acuta_KBHIv2___RNAseq.g16632.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14393.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22178.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14393.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22163.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14393.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22158.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14393.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22173.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14393.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22168.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14393.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22153.t1
Pocillopora_acuta_KBHIv2___RNAseq.g14393.t1	Pocillopora_acuta_KBHIv2___RNAseq.g14398.t1
Pocillopora_acuta_KBHIv2___RNAseq.g10006.t1	Pocillopora_acuta_KBHIv2___RNAseq.g10003.t1
Pocillopora_acuta_KBHIv2___RNAseq.g3153.t1	Pocillopora_acuta_KBHIv2___RNAseq.g10.t1
Pocillopora_acuta_KBHIv2___RNAseq.g3153.t1	Pocillopora_acuta_KBHIv2___RNAseq.g66.t1
Pocillopora_acuta_KBHIv2___RNAseq.6209_t	Pocillopora_acuta_KBHIv2___RNAseq.6205_t
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9646.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6113.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g4264.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9654.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9658.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18246.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22553.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6105.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31162.t1
Pocillopora_acuta_KBHIv2___RNAseq.g29759.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18238.t1
Pocillopora_acuta_KBHIv2___RNAseq.g9914.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9883.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6104.t1	Pocillopora_acuta_KBHIv2___RNAseq.g29758.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6104.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6112.t1
Pocillopora_acuta_KBHIv2___RNAseq.g26647.t1	Pocillopora_acuta_KBHIv2___RNAseq.g26631.t1
Pocillopora_acuta_KBHIv2___RNAseq.g23298.t1	Pocillopora_acuta_KBHIv2___RNAseq.g23296.t1
Pocillopora_acuta_KBHIv2___TS.g833.t1	Pocillopora_acuta_KBHIv2___TS.g820.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15069.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15059.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15069.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15058.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22172.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22167.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22172.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22152.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22172.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22157.t1
Pocillopora_acuta_KBHIv2___RNAseq.g20269.t1	Pocillopora_acuta_KBHIv2___RNAseq.g20220.t1
Pocillopora_acuta_KBHIv2___RNAseq.g23678.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8515.t1
Pocillopora_acuta_KBHIv2___RNAseq.g30666.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6766.t1
Pocillopora_acuta_KBHIv2___RNAseq.g30666.t1	Pocillopora_acuta_KBHIv2___RNAseq.g23620.t1
Pocillopora_acuta_KBHIv2___RNAseq.g30666.t1	Pocillopora_acuta_KBHIv2___RNAseq.g13597.t1
Pocillopora_acuta_KBHIv2___RNAseq.g5612.t1	Pocillopora_acuta_KBHIv2___RNAseq.g27075.t1
Pocillopora_acuta_KBHIv2___RNAseq.g5612.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6069.t1
Pocillopora_acuta_KBHIv2___RNAseq.g5612.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8540.t1
Pocillopora_acuta_KBHIv2___RNAseq.g1369.t1	Pocillopora_acuta_KBHIv2___RNAseq.g14547.t1
Pocillopora_acuta_KBHIv2___RNAseq.g1369.t1	Pocillopora_acuta_KBHIv2___RNAseq.g16602.t1
Pocillopora_acuta_KBHIv2___RNAseq.g1369.t1	Pocillopora_acuta_KBHIv2___RNAseq.g2608.t1
Pocillopora_acuta_KBHIv2___RNAseq.g1369.t1	Pocillopora_acuta_KBHIv2___RNAseq.g29175.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22135.t1	Pocillopora_acuta_KBHIv2___RNAseq.g25614.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22135.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22128.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22135.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9660.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22135.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8555.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22135.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31160.t1
Pocillopora_acuta_KBHIv2___RNAseq.g22135.t1	Pocillopora_acuta_KBHIv2___RNAseq.g6107.t1
Pocillopora_acuta_KBHIv2___RNAseq.g9657.t1	Pocillopora_acuta_KBHIv2___RNAseq.g31153.t1
Pocillopora_acuta_KBHIv2___RNAseq.g9657.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18239.t1
Pocillopora_acuta_KBHIv2___RNAseq.g9657.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18247.t1
Pocillopora_acuta_KBHIv2___RNAseq.g9657.t1	Pocillopora_acuta_KBHIv2___RNAseq.g22554.t1
Pocillopora_acuta_KBHIv2___RNAseq.g9657.t1	Pocillopora_acuta_KBHIv2___RNAseq.g4265.t1
Pocillopora_acuta_KBHIv2___RNAseq.g9657.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9653.t1
Pocillopora_acuta_KBHIv2___RNAseq.g10282.t1	Pocillopora_acuta_KBHIv2___RNAseq.g10283.t1
Pocillopora_acuta_KBHIv2___RNAseq.g10008.t1	Pocillopora_acuta_KBHIv2___RNAseq.g10001.t1
Pocillopora_acuta_KBHIv2___RNAseq.g8442.t1	Pocillopora_acuta_KBHIv2___RNAseq.g18379.t1
Pocillopora_acuta_KBHIv2___TS.g2937.t1	Pocillopora_acuta_KBHIv2___TS.g7298.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15057.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15067.t1
Pocillopora_acuta_KBHIv2___RNAseq.g15057.t1	Pocillopora_acuta_KBHIv2___RNAseq.g15068.t1
Pocillopora_acuta_KBHIv2___RNAseq.g6845.t1	Pocillopora_acuta_KBHIv2___RNAseq.g10114.t1
Pocillopora_acuta_KBHIv2___RNAseq.g4813.t1	Pocillopora_acuta_KBHIv2___RNAseq.g9341.t1
Pocillopora_acuta_KBHIv2___TS.g17663.t1	Pocillopora_acuta_KBHIv2___TS.g22147.t2
Pocillopora_acuta_KBHIv2___RNAseq.g8608.t1	Pocillopora_acuta_KBHIv2___RNAseq.g8607.t1
